min_consecutive_limit_up,min_entity_board_ratio,pullback_ratio_min,pullback_ratio_max,volume_shrink_ratio,volume_shrink_ratio_min,take_profit,stop_loss,hold_days,require_oversold,require_low_close,win_rate,avg_return,total_return,signal_count,profit_factor,score
2,0.3,0.08,0.25,0.5,0.05,0.05,-0.1,7,False,False,0.4728,0.0169,612.1995,404,3.63,0.3804
2,0.3,0.08,0.25,0.5,0.0,0.05,-0.1,7,False,False,0.4728,0.0169,612.1995,404,3.63,0.3804
2,0.5,0.08,0.25,0.5,0.0,0.05,-0.1,7,False,False,0.4726,0.0169,582.9995,402,3.62,0.3802
2,0.5,0.08,0.25,0.5,0.05,0.05,-0.1,7,False,False,0.4726,0.0169,582.9995,402,3.62,0.3802
2,0.5,0.1,0.25,0.5,0.0,0.05,-0.1,7,False,True,0.561,0.025,1.6898,41,7.24,0.3798
2,0.3,0.1,0.25,0.5,0.0,0.05,-0.1,7,False,True,0.561,0.025,1.6898,41,7.24,0.3798
2,0.5,0.1,0.25,0.5,0.05,0.05,-0.1,7,False,True,0.561,0.025,1.6898,41,7.24,0.3798
2,0.3,0.1,0.25,0.5,0.05,0.05,-0.1,7,False,True,0.561,0.025,1.6898,41,7.24,0.3798
2,0.3,0.08,0.25,0.4,0.05,0.05,-0.1,7,False,False,0.4535,0.0178,93.1872,269,5.25,0.3751
2,0.5,0.08,0.25,0.4,0.0,0.05,-0.1,7,False,False,0.4535,0.0178,93.1872,269,5.25,0.3751
2,0.3,0.08,0.25,0.4,0.0,0.05,-0.1,7,False,False,0.4535,0.0178,93.1872,269,5.25,0.3751
2,0.5,0.08,0.25,0.4,0.05,0.05,-0.1,7,False,False,0.4535,0.0178,93.1872,269,5.25,0.3751
2,0.5,0.05,0.25,0.4,0.05,0.05,-0.1,7,False,False,0.4559,0.0164,159.5239,329,4.04,0.3708
2,0.3,0.05,0.25,0.4,0.0,0.05,-0.1,7,False,False,0.4559,0.0164,159.5239,329,4.04,0.3708
2,0.3,0.05,0.25,0.4,0.05,0.05,-0.1,7,False,False,0.4559,0.0164,159.5239,329,4.04,0.3708
2,0.5,0.05,0.25,0.4,0.0,0.05,-0.1,7,False,False,0.4559,0.0164,159.5239,329,4.04,0.3708
2,0.3,0.08,0.2,0.5,0.05,0.05,-0.1,7,False,False,0.4592,0.016,204.6455,355,3.64,0.3707
2,0.3,0.08,0.2,0.5,0.0,0.05,-0.1,7,False,False,0.4592,0.016,204.6455,355,3.64,0.3707
2,0.5,0.08,0.2,0.5,0.05,0.05,-0.1,7,False,False,0.4589,0.016,194.8529,353,3.62,0.3704
2,0.5,0.08,0.2,0.5,0.0,0.05,-0.1,7,False,False,0.4589,0.016,194.8529,353,3.62,0.3704
2,0.3,0.08,0.15,0.5,0.05,0.05,-0.1,7,False,False,0.4661,0.0151,32.5555,251,3.09,0.3701
2,0.3,0.08,0.15,0.5,0.0,0.05,-0.1,7,False,False,0.4661,0.0151,32.5555,251,3.09,0.3701
2,0.5,0.08,0.15,0.5,0.0,0.05,-0.1,7,False,False,0.4661,0.0151,32.5555,251,3.09,0.3701
2,0.5,0.08,0.15,0.5,0.05,0.05,-0.1,7,False,False,0.4661,0.0151,32.5555,251,3.09,0.3701
2,0.3,0.1,0.25,0.5,0.0,0.05,-0.1,7,False,False,0.4585,0.0159,123.533,325,3.59,0.3698
2,0.3,0.1,0.25,0.5,0.05,0.05,-0.1,7,False,False,0.4585,0.0159,123.533,325,3.59,0.3698
2,0.5,0.1,0.25,0.5,0.05,0.05,-0.1,7,False,False,0.4582,0.0158,117.6029,323,3.57,0.3695
2,0.5,0.1,0.25,0.5,0.0,0.05,-0.1,7,False,False,0.4582,0.0158,117.6029,323,3.57,0.3695
2,0.3,0.1,0.25,0.4,0.0,0.05,-0.1,7,False,False,0.4395,0.0174,39.061,223,5.68,0.3673
2,0.5,0.1,0.25,0.4,0.0,0.05,-0.1,7,False,False,0.4395,0.0174,39.061,223,5.68,0.3673
2,0.5,0.1,0.25,0.4,0.05,0.05,-0.1,7,False,False,0.4395,0.0174,39.061,223,5.68,0.3673
2,0.3,0.1,0.25,0.4,0.05,0.05,-0.1,7,False,False,0.4395,0.0174,39.061,223,5.68,0.3673
2,0.3,0.05,0.25,0.5,0.0,0.05,-0.1,7,False,False,0.4635,0.0146,1081.6031,520,2.94,0.3669
2,0.3,0.05,0.25,0.5,0.05,0.05,-0.1,7,False,False,0.4635,0.0146,1081.6031,520,2.94,0.3669
2,0.5,0.05,0.25,0.5,0.0,0.05,-0.1,7,False,False,0.4633,0.0145,1030.0506,518,2.93,0.3666
2,0.5,0.05,0.25,0.5,0.05,0.05,-0.1,7,False,False,0.4633,0.0145,1030.0506,518,2.93,0.3666
2,0.3,0.05,0.2,0.5,0.0,0.05,-0.1,7,False,False,0.4522,0.0137,362.0669,471,2.9,0.3582
2,0.3,0.05,0.2,0.5,0.05,0.05,-0.1,7,False,False,0.4522,0.0137,362.0669,471,2.9,0.3582
2,0.5,0.05,0.2,0.5,0.0,0.05,-0.1,7,False,False,0.452,0.0136,344.778,469,2.89,0.3579
2,0.5,0.05,0.2,0.5,0.05,0.05,-0.1,7,False,False,0.452,0.0136,344.778,469,2.89,0.3579
2,0.5,0.08,0.2,0.4,0.05,0.05,-0.1,7,False,False,0.4286,0.0161,32.9648,231,5.08,0.3574
2,0.3,0.08,0.2,0.4,0.0,0.05,-0.1,7,False,False,0.4286,0.0161,32.9648,231,5.08,0.3574
2,0.5,0.08,0.2,0.4,0.0,0.05,-0.1,7,False,False,0.4286,0.0161,32.9648,231,5.08,0.3574
2,0.3,0.08,0.2,0.4,0.05,0.05,-0.1,7,False,False,0.4286,0.0161,32.9648,231,5.08,0.3574
2,0.3,0.05,0.2,0.4,0.0,0.05,-0.1,7,False,False,0.4364,0.0149,56.8864,291,3.89,0.3561
2,0.5,0.05,0.2,0.4,0.0,0.05,-0.1,7,False,False,0.4364,0.0149,56.8864,291,3.89,0.3561
2,0.5,0.05,0.2,0.4,0.05,0.05,-0.1,7,False,False,0.4364,0.0149,56.8864,291,3.89,0.3561
2,0.3,0.05,0.2,0.4,0.05,0.05,-0.1,7,False,False,0.4364,0.0149,56.8864,291,3.89,0.3561
2,0.3,0.1,0.2,0.5,0.05,0.05,-0.1,7,False,False,0.4384,0.0145,40.764,276,3.59,0.3554
2,0.3,0.1,0.2,0.5,0.0,0.05,-0.1,7,False,False,0.4384,0.0145,40.764,276,3.59,0.3554
2,0.5,0.05,0.25,0.3,0.0,0.05,-0.1,7,False,False,0.4315,0.016,8.0856,146,5.04,0.3553
2,0.5,0.05,0.25,0.3,0.05,0.05,-0.1,7,False,False,0.4315,0.016,8.0856,146,5.04,0.3553
2,0.3,0.05,0.25,0.3,0.05,0.05,-0.1,7,False,False,0.4315,0.016,8.0856,146,5.04,0.3553
2,0.3,0.05,0.25,0.3,0.0,0.05,-0.1,7,False,False,0.4315,0.016,8.0856,146,5.04,0.3553
2,0.5,0.1,0.2,0.5,0.05,0.05,-0.1,7,False,False,0.438,0.0145,38.7752,274,3.57,0.3549
2,0.5,0.1,0.2,0.5,0.0,0.05,-0.1,7,False,False,0.438,0.0145,38.7752,274,3.57,0.3549
2,0.3,0.08,0.25,0.5,0.0,0.05,-0.07,7,False,False,0.4579,0.0121,85.9773,404,2.42,0.3545
2,0.3,0.08,0.25,0.5,0.05,0.05,-0.07,7,False,False,0.4579,0.0121,85.9773,404,2.42,0.3545
2,0.5,0.05,0.15,0.5,0.0,0.05,-0.1,7,False,False,0.455,0.0124,58.2422,367,2.52,0.3542
2,0.5,0.05,0.15,0.5,0.05,0.05,-0.1,7,False,False,0.455,0.0124,58.2422,367,2.52,0.3542
2,0.3,0.05,0.15,0.5,0.05,0.05,-0.1,7,False,False,0.455,0.0124,58.2422,367,2.52,0.3542
2,0.3,0.05,0.15,0.5,0.0,0.05,-0.1,7,False,False,0.455,0.0124,58.2422,367,2.52,0.3542
2,0.5,0.08,0.25,0.5,0.0,0.05,-0.07,7,False,False,0.4577,0.012,81.8355,402,2.41,0.3541
2,0.5,0.08,0.25,0.5,0.05,0.05,-0.07,7,False,False,0.4577,0.012,81.8355,402,2.41,0.3541
2,0.3,0.08,0.12,0.5,0.0,0.05,-0.1,7,False,False,0.4476,0.0143,5.5947,143,3.17,0.3539
2,0.5,0.08,0.12,0.5,0.0,0.05,-0.1,7,False,False,0.4476,0.0143,5.5947,143,3.17,0.3539
2,0.5,0.08,0.12,0.5,0.05,0.05,-0.1,7,False,False,0.4476,0.0143,5.5947,143,3.17,0.3539
2,0.3,0.08,0.12,0.5,0.05,0.05,-0.1,7,False,False,0.4476,0.0143,5.5947,143,3.17,0.3539
2,0.5,0.05,0.12,0.4,0.05,0.05,-0.1,7,False,False,0.4527,0.0126,4.4655,148,2.68,0.3529
2,0.5,0.05,0.12,0.4,0.0,0.05,-0.1,7,False,False,0.4527,0.0126,4.4655,148,2.68,0.3529
2,0.3,0.05,0.12,0.4,0.05,0.05,-0.1,7,False,False,0.4527,0.0126,4.4655,148,2.68,0.3529
2,0.3,0.05,0.12,0.4,0.0,0.05,-0.1,7,False,False,0.4527,0.0126,4.4655,148,2.68,0.3529
2,0.5,0.05,0.15,0.4,0.0,0.05,-0.1,7,False,False,0.4413,0.0127,10.7947,213,2.92,0.3493
2,0.3,0.05,0.15,0.4,0.05,0.05,-0.1,7,False,False,0.4413,0.0127,10.7947,213,2.92,0.3493
2,0.5,0.05,0.15,0.4,0.05,0.05,-0.1,7,False,False,0.4413,0.0127,10.7947,213,2.92,0.3493
2,0.3,0.05,0.15,0.4,0.0,0.05,-0.1,7,False,False,0.4413,0.0127,10.7947,213,2.92,0.3493
2,0.5,0.08,0.25,0.4,0.05,0.05,-0.07,7,False,False,0.4387,0.0129,23.8541,269,3.02,0.3488
2,0.3,0.08,0.25,0.4,0.0,0.05,-0.07,7,False,False,0.4387,0.0129,23.8541,269,3.02,0.3488
2,0.5,0.08,0.25,0.4,0.0,0.05,-0.07,7,False,False,0.4387,0.0129,23.8541,269,3.02,0.3488
2,0.3,0.08,0.25,0.4,0.05,0.05,-0.07,7,False,False,0.4387,0.0129,23.8541,269,3.02,0.3488
