min_consecutive_limit_up,min_entity_board_ratio,pullback_ratio_min,pullback_ratio_max,volume_shrink_ratio,volume_shrink_ratio_min,take_profit,stop_loss,hold_days,require_oversold,require_low_close,win_rate,avg_return,total_return,signal_count,profit_factor,sharpe,sortino,score
2,0.3,0.08,0.25,0.5,0.0,0.05,-0.1,7,False,False,0.4291,0.0143,26.3779,247,4.12,5.77,5.0,0.6954
2,0.3,0.08,0.25,0.5,0.05,0.05,-0.1,7,False,False,0.4291,0.0143,26.3779,247,4.12,5.77,5.0,0.6954
2,0.5,0.08,0.25,0.5,0.05,0.05,-0.1,7,False,False,0.4286,0.0142,25.1244,245,4.09,5.72,5.0,0.6947
2,0.5,0.08,0.25,0.5,0.0,0.05,-0.1,7,False,False,0.4286,0.0142,25.1244,245,4.09,5.72,5.0,0.6947
2,0.3,0.08,0.2,0.5,0.0,0.05,-0.1,7,False,False,0.4189,0.0135,15.5262,222,4.02,5.4,5.0,0.6868
2,0.3,0.08,0.2,0.5,0.05,0.05,-0.1,7,False,False,0.4189,0.0135,15.5262,222,4.02,5.4,5.0,0.6868
2,0.3,0.1,0.25,0.5,0.0,0.05,-0.1,7,False,False,0.4158,0.0136,10.3386,190,4.26,5.58,5.0,0.6864
2,0.3,0.1,0.25,0.5,0.05,0.05,-0.1,7,False,False,0.4158,0.0136,10.3386,190,4.26,5.58,5.0,0.6864
2,0.5,0.08,0.2,0.5,0.05,0.05,-0.1,7,False,False,0.4182,0.0134,14.7696,220,3.99,5.35,5.0,0.6859
2,0.5,0.08,0.2,0.5,0.0,0.05,-0.1,7,False,False,0.4182,0.0134,14.7696,220,3.99,5.35,5.0,0.6859
2,0.5,0.1,0.25,0.5,0.05,0.05,-0.1,7,False,False,0.4149,0.0135,9.8195,188,4.22,5.52,5.0,0.6854
2,0.5,0.1,0.25,0.5,0.0,0.05,-0.1,7,False,False,0.4149,0.0135,9.8195,188,4.22,5.52,5.0,0.6854
2,0.3,0.08,0.25,0.4,0.05,0.05,-0.1,7,False,False,0.4,0.0137,8.0482,170,5.03,5.87,5.0,0.6817
2,0.5,0.08,0.25,0.4,0.0,0.05,-0.1,7,False,False,0.4,0.0137,8.0482,170,5.03,5.87,5.0,0.6817
2,0.3,0.08,0.25,0.4,0.0,0.05,-0.1,7,False,False,0.4,0.0137,8.0482,170,5.03,5.87,5.0,0.6817
2,0.5,0.08,0.25,0.4,0.05,0.05,-0.1,7,False,False,0.4,0.0137,8.0482,170,5.03,5.87,5.0,0.6817
2,0.5,0.08,0.15,0.5,0.0,0.05,-0.1,7,False,False,0.4201,0.0124,5.936,169,3.5,4.81,5.0,0.6796
2,0.5,0.08,0.15,0.5,0.05,0.05,-0.1,7,False,False,0.4201,0.0124,5.936,169,3.5,4.81,5.0,0.6796
2,0.3,0.08,0.15,0.5,0.05,0.05,-0.1,7,False,False,0.4201,0.0124,5.936,169,3.5,4.81,5.0,0.6796
2,0.3,0.08,0.15,0.5,0.0,0.05,-0.1,7,False,False,0.4201,0.0124,5.936,169,3.5,4.81,5.0,0.6796
2,0.5,0.1,0.25,0.4,0.0,0.05,-0.1,7,False,False,0.3971,0.0145,5.4837,136,5.88,6.41,5.0,0.6763
2,0.3,0.1,0.25,0.4,0.0,0.05,-0.1,7,False,False,0.3971,0.0145,5.4837,136,5.88,6.41,5.0,0.6763
2,0.5,0.1,0.25,0.4,0.05,0.05,-0.1,7,False,False,0.3971,0.0145,5.4837,136,5.88,6.41,5.0,0.6763
2,0.3,0.1,0.25,0.4,0.05,0.05,-0.1,7,False,False,0.3971,0.0145,5.4837,136,5.88,6.41,5.0,0.6763
2,0.3,0.1,0.2,0.5,0.05,0.05,-0.1,7,False,False,0.4,0.0125,5.8444,165,4.14,5.06,5.0,0.6735
2,0.3,0.1,0.2,0.5,0.0,0.05,-0.1,7,False,False,0.4,0.0125,5.8444,165,4.14,5.06,5.0,0.6735
2,0.3,0.05,0.25,0.5,0.05,0.05,-0.1,7,False,False,0.4207,0.0114,28.4847,328,3.01,4.1,5.0,0.673
2,0.3,0.05,0.25,0.5,0.0,0.05,-0.1,7,False,False,0.4207,0.0114,28.4847,328,3.01,4.1,5.0,0.673
2,0.5,0.05,0.25,0.5,0.0,0.05,-0.1,7,False,False,0.4202,0.0113,27.1348,326,2.99,4.07,5.0,0.6724
2,0.5,0.05,0.25,0.5,0.05,0.05,-0.1,7,False,False,0.4202,0.0113,27.1348,326,2.99,4.07,5.0,0.6724
2,0.5,0.1,0.2,0.5,0.0,0.05,-0.1,7,False,False,0.3988,0.0124,5.531,163,4.1,4.98,5.0,0.6721
2,0.5,0.1,0.2,0.5,0.05,0.05,-0.1,7,False,False,0.3988,0.0124,5.531,163,4.1,4.98,5.0,0.6721
2,0.3,0.08,0.25,0.5,0.05,0.05,-0.07,7,False,False,0.4211,0.0107,10.1447,247,2.83,4.14,5.0,0.6684
2,0.3,0.08,0.25,0.5,0.0,0.05,-0.07,7,False,False,0.4211,0.0107,10.1447,247,2.83,4.14,5.0,0.6684
2,0.5,0.08,0.25,0.5,0.05,0.05,-0.07,7,False,False,0.4204,0.0105,9.6344,245,2.81,4.09,5.0,0.6674
2,0.5,0.08,0.25,0.5,0.0,0.05,-0.07,7,False,False,0.4204,0.0105,9.6344,245,2.81,4.09,5.0,0.6674
2,0.3,0.05,0.2,0.5,0.0,0.05,-0.1,7,False,False,0.4125,0.0106,16.798,303,2.92,3.76,5.0,0.6649
2,0.3,0.05,0.2,0.5,0.05,0.05,-0.1,7,False,False,0.4125,0.0106,16.798,303,2.92,3.76,5.0,0.6649
2,0.5,0.05,0.2,0.5,0.05,0.05,-0.1,7,False,False,0.412,0.0105,15.9832,301,2.91,3.72,5.0,0.6641
2,0.5,0.05,0.2,0.5,0.0,0.05,-0.1,7,False,False,0.412,0.0105,15.9832,301,2.91,3.72,5.0,0.6641
2,0.3,0.08,0.25,0.5,0.05,0.05,-0.1,5,False,False,0.3563,0.0134,22.1584,247,7.52,6.33,5.0,0.6639
2,0.3,0.08,0.25,0.5,0.0,0.05,-0.1,5,False,False,0.3563,0.0134,22.1584,247,7.52,6.33,5.0,0.6639
2,0.3,0.05,0.25,0.4,0.0,0.05,-0.1,7,False,False,0.3961,0.0113,7.4706,207,3.59,4.3,5.0,0.6638
