min_consecutive_limit_up,min_entity_board_ratio,pullback_ratio_min,pullback_ratio_max,volume_shrink_ratio,volume_shrink_ratio_min,take_profit,stop_loss,hold_days,require_oversold,require_low_close,win_rate,avg_return,total_return,signal_count,profit_factor,sharpe,sortino,max_drawdown,score
2,0.2,0.15,0.22,0.4,0.1,0.06,-0.12,10,False,False,0.7922,0.038,256.3171,154,1.37,12.13,5.0,-23.75,0.9273
2,0.4,0.15,0.22,0.4,0.1,0.06,-0.16,10,False,False,0.7922,0.0405,375.9546,154,1.89,13.62,5.0,-33.34,0.9273
2,0.2,0.15,0.22,0.4,0.05,0.06,-0.16,10,False,False,0.7922,0.0405,375.9546,154,1.89,13.62,5.0,-33.34,0.9273
2,0.4,0.15,0.22,0.4,0.0,0.06,-0.12,10,False,False,0.7922,0.038,256.3171,154,1.37,12.13,5.0,-23.75,0.9273
2,0.4,0.15,0.22,0.4,0.1,0.06,-0.12,10,False,False,0.7922,0.038,256.3171,154,1.37,12.13,5.0,-23.75,0.9273
2,0.4,0.15,0.22,0.4,0.0,0.06,-0.16,10,False,False,0.7922,0.0405,375.9546,154,1.89,13.62,5.0,-33.34,0.9273
2,0.4,0.15,0.22,0.4,0.05,0.06,-0.16,10,False,False,0.7922,0.0405,375.9546,154,1.89,13.62,5.0,-33.34,0.9273
2,0.2,0.15,0.22,0.4,0.05,0.06,-0.12,10,False,False,0.7922,0.038,256.3171,154,1.37,12.13,5.0,-23.75,0.9273
2,0.2,0.15,0.22,0.4,0.0,0.06,-0.12,10,False,False,0.7922,0.038,256.3171,154,1.37,12.13,5.0,-23.75,0.9273
2,0.2,0.15,0.22,0.4,0.0,0.06,-0.16,10,False,False,0.7922,0.0405,375.9546,154,1.89,13.62,5.0,-33.34,0.9273
2,0.2,0.15,0.22,0.4,0.1,0.06,-0.16,10,False,False,0.7922,0.0405,375.9546,154,1.89,13.62,5.0,-33.34,0.9273
2,0.4,0.15,0.22,0.4,0.05,0.06,-0.12,10,False,False,0.7922,0.038,256.3171,154,1.37,12.13,5.0,-23.75,0.9273
2,0.6,0.15,0.22,0.4,0.1,0.06,-0.12,10,False,False,0.7908,0.0379,242.2154,153,1.37,12.05,5.0,-23.75,0.9268
2,0.6,0.15,0.22,0.4,0.1,0.06,-0.16,10,False,False,0.7908,0.0403,355.2965,153,1.89,13.54,5.0,-33.34,0.9268
2,0.6,0.15,0.22,0.4,0.05,0.06,-0.16,10,False,False,0.7908,0.0403,355.2965,153,1.89,13.54,5.0,-33.34,0.9268
2,0.6,0.15,0.22,0.4,0.0,0.06,-0.12,10,False,False,0.7908,0.0379,242.2154,153,1.37,12.05,5.0,-23.75,0.9268
2,0.6,0.15,0.22,0.4,0.05,0.06,-0.12,10,False,False,0.7908,0.0379,242.2154,153,1.37,12.05,5.0,-23.75,0.9268
2,0.6,0.15,0.22,0.4,0.0,0.06,-0.16,10,False,False,0.7908,0.0403,355.2965,153,1.89,13.54,5.0,-33.34,0.9268
2,0.6,0.15,0.22,0.8,0.1,0.06,-0.16,10,False,False,0.7877,0.0399,33593191.3536,457,1.9,13.3,5.0,-29.88,0.9257
2,0.6,0.15,0.22,0.8,0.0,0.06,-0.16,10,False,False,0.7877,0.0399,33593191.3536,457,1.9,13.3,5.0,-29.88,0.9257
2,0.6,0.15,0.22,0.8,0.05,0.06,-0.16,10,False,False,0.7877,0.0399,33593191.3536,457,1.9,13.3,5.0,-29.88,0.9257
2,0.4,0.15,0.22,0.8,0.05,0.06,-0.16,10,False,False,0.7846,0.0398,52731597.8875,469,1.97,13.4,5.0,-29.88,0.9246
2,0.4,0.15,0.22,0.8,0.1,0.06,-0.16,10,False,False,0.7846,0.0398,52731597.8875,469,1.97,13.4,5.0,-29.88,0.9246
2,0.4,0.15,0.22,0.8,0.0,0.06,-0.16,10,False,False,0.7846,0.0398,52731597.8875,469,1.97,13.4,5.0,-29.88,0.9246
2,0.2,0.15,0.22,0.8,0.0,0.06,-0.16,10,False,False,0.783,0.0397,52731597.8875,470,1.99,13.38,5.0,-29.88,0.924
2,0.2,0.15,0.22,0.8,0.05,0.06,-0.16,10,False,False,0.783,0.0397,52731597.8875,470,1.99,13.38,5.0,-29.88,0.924
2,0.2,0.15,0.22,0.8,0.1,0.06,-0.16,10,False,False,0.783,0.0397,52731597.8875,470,1.99,13.38,5.0,-29.88,0.924
2,0.6,0.15,0.22,0.6,0.1,0.06,-0.16,10,False,False,0.7826,0.0389,142783.7287,322,1.75,12.42,5.0,-33.34,0.9239
2,0.6,0.15,0.22,0.6,0.05,0.06,-0.16,10,False,False,0.7826,0.0389,142783.7287,322,1.75,12.42,5.0,-33.34,0.9239
