pullback_ratio_min,pullback_ratio_max,volume_shrink_ratio,take_profit,stop_loss,hold_days,min_entity_board_ratio,min_consecutive_limit_up,require_oversold,require_low_close,volume_shrink_ratio_min,win_rate,avg_return,total_return,signal_count,profit_factor,sharpe,sortino,max_drawdown,score
0.018,0.327,0.836,0.047,-0.124,12,0.45,3,False,False,0.1,0.7059,0.0235,127.4207,221,1.38,7.61,5,-34.26,0.8535
0.018,0.316,0.836,0.047,-0.124,12,0.45,3,False,False,0.1,0.7059,0.0235,127.4207,221,1.38,7.61,5,-34.26,0.8535
0.018,0.327,0.771,0.047,-0.124,12,0.7,3,False,False,0.1,0.7012,0.0236,37.5741,164,1.53,8.15,5,-24.78,0.853
0.018,0.316,0.771,0.047,-0.124,12,0.7,3,False,False,0.1,0.7012,0.0236,37.5741,164,1.53,8.15,5,-24.78,0.853
0.024,0.316,0.836,0.047,-0.124,12,0.45,3,False,False,0.1,0.7045,0.0234,121.893,220,1.38,7.57,5,-34.26,0.8524
0.024,0.327,0.836,0.047,-0.124,12,0.45,3,False,False,0.1,0.7045,0.0234,121.893,220,1.38,7.57,5,-34.26,0.8524
0.018,0.305,0.836,0.047,-0.124,12,0.45,3,False,False,0.1,0.7051,0.0233,111.5411,217,1.36,7.5,5,-34.26,0.852
0.018,0.339,0.836,0.047,-0.124,12,0.45,3,False,False,0.1,0.7027,0.0234,127.4207,222,1.4,7.59,5,-34.26,0.8517
0.018,0.35,0.836,0.047,-0.124,12,0.45,3,False,False,0.1,0.7027,0.0234,127.4207,222,1.4,7.59,5,-34.26,0.8517
0.018,0.361,0.836,0.047,-0.124,12,0.45,3,False,False,0.1,0.7027,0.0234,127.4207,222,1.4,7.59,5,-34.26,0.8517
0.018,0.372,0.836,0.047,-0.124,12,0.45,3,False,False,0.1,0.7027,0.0234,127.4207,222,1.4,7.59,5,-34.26,0.8517
0.024,0.316,0.771,0.047,-0.124,12,0.7,3,False,False,0.1,0.6994,0.0235,35.9137,163,1.53,8.09,5,-24.78,0.8515
0.024,0.327,0.771,0.047,-0.124,12,0.7,3,False,False,0.1,0.6994,0.0235,35.9137,163,1.53,8.09,5,-24.78,0.8515
0.018,0.316,0.771,0.053,-0.124,12,0.7,3,False,False,0.1,0.6585,0.0256,50.1002,164,1.86,8.04,5,-24.78,0.8512
0.018,0.327,0.771,0.053,-0.124,12,0.7,3,False,False,0.1,0.6585,0.0256,50.1002,164,1.86,8.04,5,-24.78,0.8512
0.018,0.316,0.836,0.047,-0.124,12,0.65,3,False,False,0.1,0.7048,0.0232,94.2421,210,1.38,7.59,5,-34.26,0.8511
0.018,0.327,0.836,0.047,-0.124,12,0.65,3,False,False,0.1,0.7048,0.0232,94.2421,210,1.38,7.59,5,-34.26,0.8511
0.018,0.305,0.771,0.047,-0.124,12,0.7,3,False,False,0.1,0.7,0.0234,32.8043,160,1.5,7.99,5,-24.78,0.8509
0.018,0.316,0.836,0.047,-0.124,12,0.7,3,False,False,0.1,0.7027,0.0232,56.0057,185,1.47,7.92,5,-34.26,0.8509
0.018,0.327,0.836,0.047,-0.124,12,0.7,3,False,False,0.1,0.7027,0.0232,56.0057,185,1.47,7.92,5,-34.26,0.8509
0.024,0.305,0.836,0.047,-0.124,12,0.45,3,False,False,0.1,0.7037,0.0232,106.6969,216,1.36,7.45,5,-34.26,0.8508
0.024,0.372,0.836,0.047,-0.124,12,0.45,3,False,False,0.1,0.7014,0.0233,121.893,221,1.4,7.55,5,-34.26,0.8506
0.018,0.316,0.793,0.047,-0.124,12,0.7,3,False,False,0.1,0.7018,0.0232,41.0085,171,1.47,7.9,5,-24.78,0.8506
0.018,0.327,0.793,0.047,-0.124,12,0.7,3,False,False,0.1,0.7018,0.0232,41.0085,171,1.47,7.9,5,-24.78,0.8506
0.018,0.361,0.771,0.047,-0.124,12,0.7,3,False,False,0.1,0.697,0.0235,37.5741,165,1.56,8.12,5,-24.78,0.8506
0.018,0.35,0.771,0.047,-0.124,12,0.7,3,False,False,0.1,0.697,0.0235,37.5741,165,1.56,8.12,5,-24.78,0.8506
0.024,0.339,0.836,0.047,-0.124,12,0.45,3,False,False,0.1,0.7014,0.0233,121.893,221,1.4,7.55,5,-34.26,0.8506
0.024,0.361,0.836,0.047,-0.124,12,0.45,3,False,False,0.1,0.7014,0.0233,121.893,221,1.4,7.55,5,-34.26,0.8506
0.024,0.35,0.836,0.047,-0.124,12,0.45,3,False,False,0.1,0.7014,0.0233,121.893,221,1.4,7.55,5,-34.26,0.8506
0.018,0.372,0.771,0.047,-0.124,12,0.7,3,False,False,0.1,0.697,0.0235,37.5741,165,1.56,8.12,5,-24.78,0.8506
0.018,0.339,0.771,0.047,-0.124,12,0.7,3,False,False,0.1,0.697,0.0235,37.5741,165,1.56,8.12,5,-24.78,0.8506
0.018,0.316,0.836,0.047,-0.124,12,0.55,3,False,False,0.1,0.7028,0.0232,98.9215,212,1.4,7.62,5,-34.26,0.8505
0.018,0.316,0.836,0.047,-0.124,12,0.6,3,False,False,0.1,0.7028,0.0232,98.9215,212,1.4,7.62,5,-34.26,0.8505
0.018,0.327,0.836,0.047,-0.124,12,0.55,3,False,False,0.1,0.7028,0.0232,98.9215,212,1.4,7.62,5,-34.26,0.8505
0.018,0.327,0.836,0.047,-0.124,12,0.6,3,False,False,0.1,0.7028,0.0232,98.9215,212,1.4,7.62,5,-34.26,0.8505
0.018,0.316,0.814,0.047,-0.124,12,0.45,3,False,False,0.1,0.7042,0.0231,97.625,213,1.34,7.38,5,-34.26,0.8504
0.018,0.327,0.814,0.047,-0.124,12,0.45,3,False,False,0.1,0.7042,0.0231,97.625,213,1.34,7.38,5,-34.26,0.8504
0.047,0.316,0.836,0.047,-0.124,12,0.45,3,False,False,0.1,0.7019,0.0231,89.3902,208,1.39,7.52,5,-34.26,0.85
0.047,0.327,0.836,0.047,-0.124,12,0.45,3,False,False,0.1,0.7019,0.0231,89.3902,208,1.39,7.52,5,-34.26,0.85
0.018,0.316,0.793,0.053,-0.124,12,0.7,3,False,False,0.1,0.6608,0.0253,56.2659,171,1.79,7.87,5,-24.78,0.85
0.018,0.327,0.793,0.053,-0.124,12,0.7,3,False,False,0.1,0.6608,0.0253,56.2659,171,1.79,7.87,5,-24.78,0.85
0.024,0.316,0.836,0.047,-0.124,12,0.65,3,False,False,0.1,0.7033,0.0231,90.1426,209,1.38,7.54,5,-34.26,0.8499
0.024,0.327,0.836,0.047,-0.124,12,0.65,3,False,False,0.1,0.7033,0.0231,90.1426,209,1.38,7.54,5,-34.26,0.8499
0.018,0.327,0.793,0.047,-0.124,12,0.65,3,False,False,0.1,0.7026,0.0231,66.1645,195,1.38,7.51,5,-24.78,0.8496
0.018,0.316,0.793,0.047,-0.124,12,0.65,3,False,False,0.1,0.7026,0.0231,66.1645,195,1.38,7.51,5,-24.78,0.8496
0.024,0.327,0.836,0.047,-0.124,12,0.7,3,False,False,0.1,0.7011,0.0231,53.552,184,1.47,7.86,5,-34.26,0.8495
0.018,0.305,0.836,0.047,-0.124,12,0.65,3,False,False,0.1,0.7039,0.023,82.4652,206,1.36,7.47,5,-34.26,0.8495
0.024,0.316,0.836,0.047,-0.124,12,0.7,3,False,False,0.1,0.7011,0.0231,53.552,184,1.47,7.86,5,-34.26,0.8495
0.024,0.316,0.836,0.047,-0.124,12,0.6,3,False,False,0.1,0.7014,0.0231,94.6205,211,1.4,7.57,5,-34.26,0.8494
0.024,0.316,0.836,0.047,-0.124,12,0.55,3,False,False,0.1,0.7014,0.0231,94.6205,211,1.4,7.57,5,-34.26,0.8494
0.024,0.316,0.771,0.053,-0.124,12,0.7,3,False,False,0.1,0.6564,0.0255,47.6215,163,1.87,7.98,5,-24.78,0.8494
0.024,0.327,0.836,0.047,-0.124,12,0.6,3,False,False,0.1,0.7014,0.0231,94.6205,211,1.4,7.57,5,-34.26,0.8494
0.024,0.327,0.836,0.047,-0.124,12,0.55,3,False,False,0.1,0.7014,0.0231,94.6205,211,1.4,7.57,5,-34.26,0.8494
0.018,0.294,0.836,0.047,-0.124,12,0.45,3,False,False,0.1,0.7042,0.0229,94.8347,213,1.33,7.35,5,-34.26,0.8494
0.024,0.327,0.771,0.053,-0.124,12,0.7,3,False,False,0.1,0.6564,0.0255,47.6215,163,1.87,7.98,5,-24.78,0.8494
0.024,0.305,0.771,0.047,-0.124,12,0.7,3,False,False,0.1,0.6981,0.0232,31.3492,159,1.5,7.92,5,-24.78,0.8493
0.018,0.361,0.836,0.047,-0.124,12,0.65,3,False,False,0.1,0.7014,0.0231,94.2421,211,1.4,7.57,5,-34.26,0.8492
0.024,0.316,0.814,0.047,-0.124,12,0.45,3,False,False,0.1,0.7028,0.023,93.3798,212,1.34,7.33,5,-34.26,0.8492
0.018,0.372,0.836,0.047,-0.124,12,0.65,3,False,False,0.1,0.7014,0.0231,94.2421,211,1.4,7.57,5,-34.26,0.8492
0.018,0.35,0.836,0.047,-0.124,12,0.65,3,False,False,0.1,0.7014,0.0231,94.2421,211,1.4,7.57,5,-34.26,0.8492
0.024,0.327,0.814,0.047,-0.124,12,0.45,3,False,False,0.1,0.7028,0.023,93.3798,212,1.34,7.33,5,-34.26,0.8492
0.018,0.339,0.836,0.047,-0.124,12,0.65,3,False,False,0.1,0.7014,0.0231,94.2421,211,1.4,7.57,5,-34.26,0.8492
0.024,0.327,0.793,0.047,-0.124,12,0.7,3,False,False,0.1,0.7,0.0231,39.2003,170,1.47,7.84,5,-24.78,0.8491
0.024,0.316,0.793,0.047,-0.124,12,0.7,3,False,False,0.1,0.7,0.0231,39.2003,170,1.47,7.84,5,-24.78,0.8491
0.018,0.316,0.793,0.047,-0.124,12,0.6,3,False,False,0.1,0.7005,0.0231,69.4644,197,1.4,7.54,5,-24.78,0.849
0.018,0.305,0.836,0.047,-0.124,12,0.7,3,False,False,0.1,0.7017,0.023,48.9568,181,1.44,7.77,5,-34.26,0.849
0.024,0.35,0.771,0.047,-0.124,12,0.7,3,False,False,0.1,0.6951,0.0234,35.9137,164,1.57,8.05,5,-24.78,0.849
0.024,0.372,0.771,0.047,-0.124,12,0.7,3,False,False,0.1,0.6951,0.0234,35.9137,164,1.57,8.05,5,-24.78,0.849
0.018,0.327,0.793,0.047,-0.124,12,0.55,3,False,False,0.1,0.7005,0.0231,69.4644,197,1.4,7.54,5,-24.78,0.849
0.018,0.327,0.793,0.047,-0.124,12,0.6,3,False,False,0.1,0.7005,0.0231,69.4644,197,1.4,7.54,5,-24.78,0.849
0.024,0.361,0.771,0.047,-0.124,12,0.7,3,False,False,0.1,0.6951,0.0234,35.9137,164,1.57,8.05,5,-24.78,0.849
0.018,0.316,0.793,0.047,-0.124,12,0.55,3,False,False,0.1,0.7005,0.0231,69.4644,197,1.4,7.54,5,-24.78,0.849
0.024,0.339,0.771,0.047,-0.124,12,0.7,3,False,False,0.1,0.6951,0.0234,35.9137,164,1.57,8.05,5,-24.78,0.849
0.018,0.305,0.836,0.047,-0.124,12,0.55,3,False,False,0.1,0.7019,0.023,86.5659,208,1.38,7.5,5,-34.26,0.8489
0.036,0.327,0.771,0.047,-0.124,12,0.7,3,False,False,0.1,0.7,0.0231,31.2879,160,1.49,7.93,5,-24.78,0.8489
0.036,0.316,0.771,0.047,-0.124,12,0.7,3,False,False,0.1,0.7,0.0231,31.2879,160,1.49,7.93,5,-24.78,0.8489
0.018,0.305,0.836,0.047,-0.124,12,0.6,3,False,False,0.1,0.7019,0.023,86.5659,208,1.38,7.5,5,-34.26,0.8489
0.018,0.372,0.771,0.053,-0.124,12,0.7,3,False,False,0.1,0.6545,0.0255,50.1002,165,1.9,8.01,5,-24.78,0.8488
0.018,0.35,0.771,0.053,-0.124,12,0.7,3,False,False,0.1,0.6545,0.0255,50.1002,165,1.9,8.01,5,-24.78,0.8488
0.018,0.339,0.771,0.053,-0.124,12,0.7,3,False,False,0.1,0.6545,0.0255,50.1002,165,1.9,8.01,5,-24.78,0.8488
