signal_date,code,mode,entry_price,pullback_pct,limit_days
20260601,600617.SS,strict,3.67,8.0,2
20260601,003041.SZ,strict,57.38,9.5,2
20260601,600617.SS,normal,3.67,8.0,2
20260601,300262.SZ,normal,0.68,19.0,3
20260601,603808.SS,normal,9.74,6.5,2
20260601,003041.SZ,normal,57.38,9.5,2
20260601,000533.SZ,loose,12.69,38.2,2
20260601,002971.SZ,loose,34.65,15.9,2
20260601,600664.SS,loose,3.36,24.3,2
20260601,000788.SZ,loose,5.46,24.4,2
20260601,600594.SS,loose,3.62,24.6,2
20260601,600955.SS,loose,16.54,11.8,2
20260601,605299.SS,loose,18.13,30.2,2
20260601,002263.SZ,loose,3.87,4.9,2
20260601,600982.SS,loose,6.69,3.0,2
20260601,000722.SZ,loose,15.38,15.9,3
20260601,003042.SZ,loose,15.09,23.7,2
20260601,603315.SS,loose,16.64,10.2,2
20260601,002081.SZ,loose,6.57,8.0,5
20260601,002310.SZ,loose,2.94,23.2,3
20260601,600530.SS,loose,7.35,7.3,4
20260601,000927.SZ,loose,2.7,19.2,2
20260601,000720.SZ,loose,5.14,9.7,2
20260601,601512.SS,loose,8.78,22.6,2
20260601,605268.SS,loose,10.68,36.7,4
20260601,600617.SS,loose,3.67,8.0,2
20260601,300385.SZ,loose,14.53,22.4,2
20260601,001299.SZ,loose,13.31,2.6,3
20260601,603387.SS,loose,8.99,13.4,2
20260601,600488.SS,loose,5.72,21.2,2
20260601,000008.SZ,loose,2.59,20.8,2
20260601,000593.SZ,loose,21.49,15.5,2
20260601,600502.SS,loose,5.29,6.0,2
20260601,002218.SZ,loose,4.6,36.6,2
20260601,000919.SZ,loose,6.44,27.7,2
20260601,600691.SS,loose,2.78,37.2,2
20260601,603026.SS,loose,91.47,2.5,2
20260601,002580.SZ,loose,26.71,12.7,7
20260601,600121.SS,loose,4.7,16.8,2
20260601,603937.SS,loose,15.1,10.0,3
20260601,600076.SS,loose,3.64,16.5,3
20260601,600152.SS,loose,12.54,20.1,3
20260601,603585.SS,loose,16.41,28.1,2
20260601,601678.SS,loose,5.67,10.6,2
20260601,001211.SZ,loose,44.59,16.7,2
20260601,300262.SZ,loose,0.68,19.0,3
20260601,600379.SS,loose,13.8,25.2,4
20260601,002192.SZ,loose,82.71,24.3,2
20260601,002578.SZ,loose,4.25,9.4,2
20260601,603318.SS,loose,9.29,32.6,5
20260601,002421.SZ,loose,4.52,5.8,2
20260601,601016.SS,loose,4.92,8.9,2
20260601,000567.SZ,loose,6.29,5.7,2
20260601,002487.SZ,loose,74.76,7.2,2
20260601,000890.SZ,loose,10.8,27.2,2
20260601,002038.SZ,loose,5.9,18.8,2
20260601,605099.SS,loose,43.84,9.5,2
20260601,603808.SS,loose,9.74,6.5,2
20260601,600844.SS,loose,3.07,38.5,2
20260601,600743.SS,loose,2.56,20.2,6
20260601,002124.SZ,loose,2.62,16.6,3
20260601,000553.SZ,loose,6.38,14.9,2
20260601,002082.SZ,loose,15.94,38.8,2
20260601,003041.SZ,loose,57.38,9.5,2
20260601,600227.SS,loose,3.11,14.1,2
20260601,603060.SS,loose,7.02,3.7,2
20260601,002663.SZ,loose,1.98,18.5,2
20260601,002051.SZ,loose,11.13,6.5,2
20260601,600032.SS,loose,10.69,17.9,3
20260601,002175.SZ,loose,2.72,5.9,2
20260601,000402.SZ,loose,3.14,10.0,3
20260601,600736.SS,loose,7.21,13.9,3
20260601,000601.SZ,loose,8.16,8.0,2
20260601,600307.SS,loose,1.67,31.0,2
20260601,603093.SS,loose,22.08,14.7,2
20260601,603324.SS,loose,32.64,4.8,2
20260601,600539.SS,loose,15.95,2.4,2
20260601,002560.SZ,loose,9.21,28.6,2
20260601,002309.SZ,loose,3.61,28.8,4
20260601,001234.SZ,loose,24.95,30.2,3
20260601,600780.SS,loose,7.73,8.5,2
20260601,603687.SS,loose,16.61,16.3,2
20260601,600513.SS,loose,17.7,37.2,2
20260601,002805.SZ,loose,21.66,13.8,3
20260601,600726.SS,loose,9.65,4.7,5
20260602,600664.SS,strict,3.37,24.1,2
20260602,002310.SZ,strict,2.92,23.8,3
20260602,000927.SZ,strict,2.7,19.2,2
20260602,002971.SZ,normal,34.75,15.7,2
20260602,600664.SS,normal,3.37,24.1,2
20260602,603315.SS,normal,16.54,10.7,2
20260602,002310.SZ,normal,2.92,23.8,3
20260602,000927.SZ,normal,2.7,19.2,2
20260602,000720.SZ,normal,5.28,19.1,3
20260602,600488.SS,normal,5.54,23.7,2
20260602,600502.SS,normal,5.29,6.0,2
20260602,300262.SZ,normal,0.68,19.0,3
20260602,601016.SS,normal,5.04,6.7,2
20260602,000567.SZ,normal,6.24,6.4,2
20260602,002051.SZ,normal,11.01,7.5,2
20260602,600032.SS,normal,10.61,18.5,3
20260602,603093.SS,normal,22.0,15.0,2
20260602,600780.SS,normal,7.72,8.6,2
20260602,002971.SZ,loose,34.75,15.7,2
