code,name
300602.SZ,飞荣达
301335.SZ,天元宠物
688790.SS,昂瑞微-UW
603067.SS,振华股份
300153.SZ,科泰电源
002719.SZ,ST麦趣
002048.SZ,宁波华翔
301182.SZ,凯旺科技
688276.SS,百克生物
603636.SS,南威软件
688690.SS,纳微科技
300702.SZ,天宇股份
301235.SZ,华康洁净
300053.SZ,航宇微
603167.SS,渤海轮渡
301082.SZ,久盛电气
688376.SS,美埃科技
002148.SZ,北纬科技
300817.SZ,双飞集团
605266.SS,健之佳
605366.SS,宏柏新材
603823.SS,百合花
300917.SZ,特发服务
000533.SZ,顺钠股份
002282.SZ,博深股份
600812.SS,XD华北制
301348.SZ,蓝箭电子
301419.SZ,阿莱德
002035.SZ,华帝股份
300399.SZ,天利科技
301248.SZ,杰创智能
301519.SZ,舜禹股份
002382.SZ,蓝帆医疗
300299.SZ,富春股份
002664.SZ,信质集团
002135.SZ,东南网架
601330.SS,绿色动力
600156.SS,华升股份
601187.SS,厦门银行
002971.SZ,和远气体
600707.SS,彩虹股份
600056.SS,中国医药
002871.SZ,伟隆股份
600382.SS,广东明珠
002912.SZ,中新赛克
600664.SS,哈药股份
300809.SZ,华辰装备
600135.SS,乐凯胶片
002812.SZ,恩捷股份
600282.SS,南钢股份
605378.SS,野马电池
300909.SZ,汇创达
600764.SS,中国海防
600035.SS,楚天高速
002707.SZ,众信旅游
002056.SZ,横店东磁
688539.SS,高华科技
688268.SS,华特气体
600871.SS,石化油服
603728.SS,鸣志电器
603079.SS,圣达生物
688439.SS,振华风光
688368.SS,晶丰明源
002607.SZ,中公教育
002156.SZ,通富微电
603628.SS,清源股份
600971.SS,恒源煤电
603179.SS,新泉股份
601199.SS,江南水务
000301.SZ,东方盛虹
600619.SS,海立股份
600148.SS,长春一东
000550.SZ,江铃汽车
601099.SS,太平洋
605305.SS,中际联合
600719.SS,大连热电
600048.SS,保利发展
300387.SZ,富邦科技
688215.SS,瑞晟智能
301356.SZ,天振股份
300661.SZ,圣邦股份
603755.SS,日辰股份
603004.SS,鼎龙科技
300130.SZ,新国都
688315.SS,诺禾致源
300287.SZ,飞利信
603655.SS,朗博科技
301256.SZ,华融化学
300761.SZ,立华股份
300030.SZ,阳普医疗
301507.SZ,民生健康
301090.SZ,华润材料
688435.SS,英方软件
300041.SZ,回天新材
603175.SS,超颖电子
688682.SS,霍莱沃
300710.SZ,万隆光电
301227.SZ,森鹰窗业
000983.SZ,山西焦煤
688535.SS,华海诚科
301190.SZ,善水科技
000883.SZ,湖北能源
603075.SS,热威股份
300141.SZ,和顺电气
300610.SZ,晨化股份
301327.SZ,华宝新能
000521.SZ,长虹美菱
000796.SZ,凯撒旅业
600039.SS,四川路桥
600768.SS,宁波富邦
300905.SZ,宝丽迪
000421.SZ,南京公用
300805.SZ,电声股份
603931.SS,格林达
600668.SS,尖峰集团
688319.SS,欧林生物
688448.SS,磁谷科技
002127.SZ,南极电商
002676.SZ,顺威股份
603108.SS,润达医疗
600900.SS,长江电力
603659.SS,璞泰来
002390.SZ,信邦制药
002027.SZ,分众传媒
688219.SS,会通股份
688548.SS,广钢气体
002290.SZ,禾盛新材
603008.SS,ST喜临门
603759.SS,海天股份
600800.SS,渤海化学
002863.SZ,今飞凯达
300978.SZ,东箭科技
600715.SS,文投控股
601222.SS,林洋能源
002963.SZ,豪尔赛
600615.SS,鑫源智造
300878.SZ,维康药业
000788.SZ,北大医药
600027.SS,华电国际
600776.SS,东方通信
002800.SZ,天顺股份
600127.SS,金健米业
600676.SS,交运股份
000688.SZ,国城矿业
600390.SS,五矿资本
002900.SZ,哈三联
301568.SZ,思泰克
301239.SZ,普瑞眼科
600963.SS,岳阳林纸
002144.SZ,宏达高科
002615.SZ,哈尔斯
301468.SZ,博盈特焊
600863.SS,华能蒙电
301339.SZ,通行宝
002044.SZ,美年健康
002715.SZ,登云股份
300966.SZ,共同药业
300866.SZ,安克创新
300022.SZ,吉峰科技
301515.SZ,港通医疗
603116.SS,XD红蜻蜓
300773.SZ,拉卡拉
688307.SS,中润光学
300295.SZ,*ST三六五
688456.SS,有研粉材
002139.SZ,拓邦股份
002668.SZ,TCL智家
603016.SS,新宏泰
300122.SZ,智飞生物
300673.SZ,佩蒂股份
002039.SZ,黔源电力
002768.SZ,国恩股份
300395.SZ,菲利华
688207.SS,格灵深瞳
688556.SS,高测股份
300933.SZ,中辰股份
002828.SZ,贝肯能源
000517.SZ,荣安地产
300833.SZ,浩洋股份
601369.SS,陕鼓动力
002928.SZ,华夏航空
