min_consecutive_limit_up,min_entity_board_ratio,pullback_ratio_min,pullback_ratio_max,volume_shrink_ratio,volume_shrink_ratio_min,take_profit,stop_loss,hold_days,require_oversold,require_low_close,win_rate,avg_return,total_return,signal_count,profit_factor,sharpe,sortino,max_drawdown,score
3,0.4,0.03,0.12,0.6,0.05,0.06,-0.16,10,False,False,0.8557,0.034,11410.9147,298,3.18,3.5,5.0,-41.16,0.9495
3,0.4,0.03,0.12,0.6,0.1,0.06,-0.16,10,False,False,0.8557,0.034,11410.9147,298,3.18,3.5,5.0,-41.16,0.9495
3,0.4,0.03,0.12,0.6,0.0,0.06,-0.16,10,False,False,0.8557,0.034,11410.9147,298,3.18,3.5,5.0,-41.16,0.9495
3,0.6,0.03,0.12,0.6,0.05,0.06,-0.16,10,False,False,0.8537,0.0336,9107.5383,294,3.13,3.51,5.0,-41.16,0.9488
3,0.6,0.03,0.12,0.6,0.1,0.06,-0.16,10,False,False,0.8537,0.0336,9107.5383,294,3.13,3.51,5.0,-41.16,0.9488
3,0.6,0.03,0.12,0.6,0.0,0.06,-0.16,10,False,False,0.8537,0.0336,9107.5383,294,3.13,3.51,5.0,-41.16,0.9488
3,0.4,0.03,0.12,0.6,0.0,0.06,-0.12,10,False,False,0.8523,0.0341,12484.5533,298,3.23,3.73,5.0,-38.22,0.9483
3,0.4,0.03,0.12,0.6,0.05,0.06,-0.12,10,False,False,0.8523,0.0341,12484.5533,298,3.23,3.73,5.0,-38.22,0.9483
3,0.4,0.03,0.12,0.6,0.1,0.06,-0.12,10,False,False,0.8523,0.0341,12484.5533,298,3.23,3.73,5.0,-38.22,0.9483
3,0.2,0.03,0.12,0.6,0.0,0.06,-0.16,10,False,False,0.8516,0.0339,16700.4097,310,3.24,3.57,5.0,-41.16,0.9481
3,0.2,0.03,0.12,0.6,0.05,0.06,-0.16,10,False,False,0.8516,0.0339,16700.4097,310,3.24,3.57,5.0,-41.16,0.9481
3,0.2,0.03,0.12,0.6,0.1,0.06,-0.16,10,False,False,0.8516,0.0339,16700.4097,310,3.24,3.57,5.0,-41.16,0.9481
3,0.6,0.03,0.12,0.6,0.1,0.06,-0.12,10,False,False,0.8503,0.0337,9964.474,294,3.18,3.75,5.0,-38.22,0.9476
3,0.6,0.03,0.12,0.6,0.0,0.06,-0.12,10,False,False,0.8503,0.0337,9964.474,294,3.18,3.75,5.0,-38.22,0.9476
3,0.6,0.03,0.12,0.6,0.05,0.06,-0.12,10,False,False,0.8503,0.0337,9964.474,294,3.18,3.75,5.0,-38.22,0.9476
3,0.4,0.07,0.12,0.6,0.1,0.06,-0.16,10,False,False,0.8495,0.0324,254.8544,186,2.98,3.7,5.0,-41.16,0.9473
3,0.4,0.07,0.12,0.6,0.0,0.06,-0.16,10,False,False,0.8495,0.0324,254.8544,186,2.98,3.7,5.0,-41.16,0.9473
3,0.4,0.07,0.12,0.6,0.05,0.06,-0.16,10,False,False,0.8495,0.0324,254.8544,186,2.98,3.7,5.0,-41.16,0.9473
3,0.2,0.03,0.12,0.6,0.05,0.06,-0.12,10,False,False,0.8484,0.034,18271.6866,310,3.29,3.81,5.0,-38.22,0.9469
3,0.2,0.03,0.12,0.6,0.1,0.06,-0.12,10,False,False,0.8484,0.034,18271.6866,310,3.29,3.81,5.0,-38.22,0.9469
3,0.2,0.03,0.12,0.6,0.0,0.06,-0.12,10,False,False,0.8484,0.034,18271.6866,310,3.29,3.81,5.0,-38.22,0.9469
3,0.6,0.07,0.12,0.6,0.05,0.06,-0.16,10,False,False,0.847,0.032,215.0531,183,2.92,3.69,5.0,-41.16,0.9464
3,0.6,0.07,0.12,0.6,0.1,0.06,-0.16,10,False,False,0.847,0.032,215.0531,183,2.92,3.69,5.0,-41.16,0.9464
3,0.6,0.07,0.12,0.6,0.0,0.06,-0.16,10,False,False,0.847,0.032,215.0531,183,2.92,3.69,5.0,-41.16,0.9464
3,0.4,0.07,0.12,0.6,0.1,0.06,-0.12,10,False,False,0.8441,0.0319,238.9616,186,2.92,3.87,5.0,-34.64,0.9454
3,0.4,0.07,0.12,0.6,0.05,0.06,-0.12,10,False,False,0.8441,0.0319,238.9616,186,2.92,3.87,5.0,-34.64,0.9454
3,0.4,0.07,0.12,0.6,0.0,0.06,-0.12,10,False,False,0.8441,0.0319,238.9616,186,2.92,3.87,5.0,-34.64,0.9454
3,0.6,0.07,0.12,0.6,0.05,0.06,-0.12,10,False,False,0.8415,0.0315,201.6326,183,2.87,3.84,5.0,-34.64,0.9445
3,0.6,0.07,0.12,0.6,0.1,0.06,-0.12,10,False,False,0.8415,0.0315,201.6326,183,2.87,3.84,5.0,-34.64,0.9445
3,0.6,0.07,0.12,0.6,0.0,0.06,-0.12,10,False,False,0.8415,0.0315,201.6326,183,2.87,3.84,5.0,-34.64,0.9445
3,0.2,0.07,0.12,0.6,0.1,0.06,-0.16,10,False,False,0.841,0.0325,342.7346,195,3.05,3.69,5.0,-41.16,0.9444
3,0.2,0.07,0.12,0.6,0.05,0.06,-0.16,10,False,False,0.841,0.0325,342.7346,195,3.05,3.69,5.0,-41.16,0.9444
3,0.2,0.07,0.12,0.6,0.0,0.06,-0.16,10,False,False,0.841,0.0325,342.7346,195,3.05,3.69,5.0,-41.16,0.9444
3,0.2,0.07,0.12,0.6,0.0,0.06,-0.12,10,False,False,0.8359,0.032,321.383,195,3.0,3.86,5.0,-34.64,0.9426
3,0.2,0.07,0.12,0.6,0.05,0.06,-0.12,10,False,False,0.8359,0.032,321.383,195,3.0,3.86,5.0,-34.64,0.9426
3,0.2,0.07,0.12,0.6,0.1,0.06,-0.12,10,False,False,0.8359,0.032,321.383,195,3.0,3.86,5.0,-34.64,0.9426
3,0.6,0.03,0.32,0.4,0.1,0.06,-0.16,10,False,False,0.8006,0.0301,6984.8213,316,3.18,4.72,5.0,-39.37,0.9302
3,0.6,0.03,0.32,0.4,0.0,0.06,-0.16,10,False,False,0.8006,0.0301,6984.8213,316,3.18,4.72,5.0,-39.37,0.9302
3,0.6,0.03,0.32,0.4,0.05,0.06,-0.16,10,False,False,0.8006,0.0301,6984.8213,316,3.18,4.72,5.0,-39.37,0.9302
3,0.6,0.03,0.32,0.4,0.05,0.06,-0.12,10,False,False,0.8006,0.0299,6604.8839,316,3.12,4.91,5.0,-40.18,0.9294
3,0.6,0.03,0.32,0.4,0.0,0.06,-0.12,10,False,False,0.8006,0.0299,6604.8839,316,3.12,4.91,5.0,-40.18,0.9294
3,0.6,0.03,0.32,0.4,0.1,0.06,-0.12,10,False,False,0.8006,0.0299,6604.8839,316,3.12,4.91,5.0,-40.18,0.9294
3,0.6,0.03,0.42,0.4,0.0,0.06,-0.16,10,False,False,0.7971,0.0306,18642.5705,345,3.25,5.13,5.0,-39.37,0.929
3,0.6,0.03,0.42,0.4,0.1,0.06,-0.16,10,False,False,0.7971,0.0306,18642.5705,345,3.25,5.13,5.0,-39.37,0.929
3,0.6,0.03,0.42,0.4,0.1,0.06,-0.12,10,False,False,0.7971,0.0305,18470.1324,345,3.22,5.34,5.0,-40.18,0.929
3,0.6,0.03,0.42,0.4,0.0,0.06,-0.12,10,False,False,0.7971,0.0305,18470.1324,345,3.22,5.34,5.0,-40.18,0.929
3,0.6,0.03,0.42,0.4,0.05,0.06,-0.16,10,False,False,0.7971,0.0306,18642.5705,345,3.25,5.13,5.0,-39.37,0.929
3,0.6,0.03,0.42,0.4,0.05,0.06,-0.12,10,False,False,0.7971,0.0305,18470.1324,345,3.22,5.34,5.0,-40.18,0.929
3,0.6,0.03,0.22,0.4,0.0,0.06,-0.12,10,False,False,0.7967,0.0309,1043.7843,241,3.19,4.23,5.0,-40.18,0.9288
3,0.6,0.03,0.22,0.4,0.1,0.06,-0.12,10,False,False,0.7967,0.0309,1043.7843,241,3.19,4.23,5.0,-40.18,0.9288
3,0.6,0.03,0.22,0.4,0.1,0.06,-0.16,10,False,False,0.7967,0.0311,1072.3052,241,3.24,4.02,5.0,-39.37,0.9288
3,0.6,0.03,0.22,0.4,0.05,0.06,-0.16,10,False,False,0.7967,0.0311,1072.3052,241,3.24,4.02,5.0,-39.37,0.9288
3,0.6,0.03,0.22,0.4,0.0,0.06,-0.16,10,False,False,0.7967,0.0311,1072.3052,241,3.24,4.02,5.0,-39.37,0.9288
3,0.6,0.03,0.22,0.4,0.05,0.06,-0.12,10,False,False,0.7967,0.0309,1043.7843,241,3.19,4.23,5.0,-40.18,0.9288
3,0.6,0.11,0.42,0.4,0.1,0.06,-0.16,10,False,False,0.7951,0.0304,3017.2967,283,3.32,5.62,5.0,-31.07,0.9283
3,0.6,0.11,0.42,0.4,0.05,0.06,-0.16,10,False,False,0.7951,0.0304,3017.2967,283,3.32,5.62,5.0,-31.07,0.9283
3,0.6,0.11,0.42,0.4,0.0,0.06,-0.12,10,False,False,0.7951,0.0303,2992.811,283,3.28,5.83,5.0,-32.32,0.9283
3,0.6,0.11,0.42,0.4,0.1,0.06,-0.12,10,False,False,0.7951,0.0303,2992.811,283,3.28,5.83,5.0,-32.32,0.9283
3,0.6,0.11,0.42,0.4,0.0,0.06,-0.16,10,False,False,0.7951,0.0304,3017.2967,283,3.32,5.62,5.0,-31.07,0.9283
3,0.6,0.11,0.42,0.4,0.05,0.06,-0.12,10,False,False,0.7951,0.0303,2992.811,283,3.28,5.83,5.0,-32.32,0.9283
3,0.6,0.11,0.32,0.4,0.05,0.06,-0.16,10,False,False,0.7992,0.0297,1129.968,254,3.23,5.14,5.0,-35.19,0.928
3,0.6,0.11,0.32,0.4,0.0,0.06,-0.16,10,False,False,0.7992,0.0297,1129.968,254,3.23,5.14,5.0,-35.19,0.928
3,0.6,0.11,0.32,0.4,0.1,0.06,-0.16,10,False,False,0.7992,0.0297,1129.968,254,3.23,5.14,5.0,-35.19,0.928
3,0.6,0.11,0.22,0.4,0.1,0.06,-0.16,10,False,False,0.7933,0.0309,172.7625,179,3.33,4.31,5.0,-31.4,0.9277
3,0.6,0.11,0.22,0.4,0.05,0.06,-0.12,10,False,False,0.7933,0.0307,168.3392,179,3.26,4.58,5.0,-37.13,0.9277
3,0.6,0.11,0.22,0.4,0.1,0.06,-0.12,10,False,False,0.7933,0.0307,168.3392,179,3.26,4.58,5.0,-37.13,0.9277
3,0.6,0.11,0.22,0.4,0.0,0.06,-0.12,10,False,False,0.7933,0.0307,168.3392,179,3.26,4.58,5.0,-37.13,0.9277
3,0.6,0.11,0.22,0.4,0.05,0.06,-0.16,10,False,False,0.7933,0.0309,172.7625,179,3.33,4.31,5.0,-31.4,0.9277
3,0.6,0.11,0.22,0.4,0.0,0.06,-0.16,10,False,False,0.7933,0.0309,172.7625,179,3.33,4.31,5.0,-31.4,0.9277
3,0.4,0.03,0.22,0.4,0.1,0.06,-0.16,10,False,False,0.7918,0.0306,1051.0368,245,3.15,3.9,5.0,-39.37,0.9271
3,0.6,0.03,0.22,0.6,0.0,0.06,-0.16,10,False,False,0.8025,0.0294,26831743.0191,633,2.81,4.36,5.0,-51.05,0.9271
3,0.4,0.03,0.22,0.4,0.05,0.06,-0.16,10,False,False,0.7918,0.0306,1051.0368,245,3.15,3.9,5.0,-39.37,0.9271
3,0.4,0.03,0.22,0.4,0.05,0.06,-0.12,10,False,False,0.7918,0.0304,1023.081,245,3.1,4.09,5.0,-40.18,0.9271
3,0.6,0.03,0.22,0.6,0.05,0.06,-0.16,10,False,False,0.8025,0.0294,26831743.0191,633,2.81,4.36,5.0,-51.05,0.9271
3,0.4,0.03,0.22,0.4,0.0,0.06,-0.16,10,False,False,0.7918,0.0306,1051.0368,245,3.15,3.9,5.0,-39.37,0.9271
3,0.4,0.03,0.22,0.4,0.1,0.06,-0.12,10,False,False,0.7918,0.0304,1023.081,245,3.1,4.09,5.0,-40.18,0.9271
3,0.4,0.03,0.22,0.4,0.0,0.06,-0.12,10,False,False,0.7918,0.0304,1023.081,245,3.1,4.09,5.0,-40.18,0.9271
3,0.6,0.03,0.22,0.6,0.1,0.06,-0.16,10,False,False,0.8025,0.0294,26831743.0191,633,2.81,4.36,5.0,-51.05,0.9271
3,0.6,0.11,0.32,0.4,0.1,0.06,-0.12,10,False,False,0.7992,0.0294,1069.6852,254,3.16,5.33,5.0,-33.49,0.926
3,0.6,0.11,0.32,0.4,0.05,0.06,-0.12,10,False,False,0.7992,0.0294,1069.6852,254,3.16,5.33,5.0,-33.49,0.926
3,0.6,0.11,0.32,0.4,0.0,0.06,-0.12,10,False,False,0.7992,0.0294,1069.6852,254,3.16,5.33,5.0,-33.49,0.926
3,0.4,0.03,0.42,0.4,0.0,0.06,-0.16,10,False,False,0.7898,0.0299,17401.1526,352,3.14,4.96,5.0,-39.37,0.9256
3,0.4,0.03,0.42,0.4,0.1,0.06,-0.16,10,False,False,0.7898,0.0299,17401.1526,352,3.14,4.96,5.0,-39.37,0.9256
3,0.4,0.03,0.42,0.4,0.05,0.06,-0.16,10,False,False,0.7898,0.0299,17401.1526,352,3.14,4.96,5.0,-39.37,0.9256
3,0.4,0.11,0.22,0.4,0.0,0.06,-0.16,10,False,False,0.7869,0.0302,169.3193,183,3.2,4.11,5.0,-31.4,0.9254
3,0.4,0.11,0.22,0.4,0.05,0.06,-0.16,10,False,False,0.7869,0.0302,169.3193,183,3.2,4.11,5.0,-31.4,0.9254
3,0.4,0.11,0.22,0.4,0.1,0.06,-0.16,10,False,False,0.7869,0.0302,169.3193,183,3.2,4.11,5.0,-31.4,0.9254
3,0.4,0.11,0.22,0.4,0.0,0.06,-0.12,10,False,False,0.7869,0.0299,164.9836,183,3.14,4.36,5.0,-37.13,0.9251
