pullback_ratio_min,pullback_ratio_max,volume_shrink_ratio,take_profit,stop_loss,hold_days,min_entity_board_ratio,min_consecutive_limit_up,require_oversold,require_low_close,volume_shrink_ratio_min,win_rate,avg_return,total_return,signal_count,profit_factor,sharpe,sortino,max_drawdown,score
0.116,0.416,0.671,0.046,-0.097,10,0.5,3,False,False,0.05,0.6597,0.0211,43.9301,191,1.66,7.53,5,-35.22,0.8219
0.116,0.416,0.671,0.046,-0.097,10,0.4,3,False,False,0.05,0.6597,0.0211,43.9301,191,1.66,7.53,5,-35.22,0.8219
0.116,0.374,0.671,0.046,-0.097,10,0.4,3,False,False,0.05,0.6597,0.0211,43.9301,191,1.66,7.53,5,-35.22,0.8219
0.116,0.353,0.671,0.046,-0.097,10,0.4,3,False,False,0.05,0.6597,0.0211,43.9301,191,1.66,7.53,5,-35.22,0.8219
0.116,0.353,0.671,0.046,-0.097,10,0.5,3,False,False,0.05,0.6597,0.0211,43.9301,191,1.66,7.53,5,-35.22,0.8219
0.116,0.374,0.671,0.046,-0.097,10,0.5,3,False,False,0.05,0.6597,0.0211,43.9301,191,1.66,7.53,5,-35.22,0.8219
0.116,0.395,0.671,0.046,-0.097,10,0.4,3,False,False,0.05,0.6597,0.0211,43.9301,191,1.66,7.53,5,-35.22,0.8219
0.116,0.395,0.671,0.046,-0.097,10,0.5,3,False,False,0.05,0.6597,0.0211,43.9301,191,1.66,7.53,5,-35.22,0.8219
0.116,0.416,0.671,0.046,-0.097,10,0.3,3,False,False,0.05,0.6564,0.0212,47.9691,195,1.71,7.6,5,-35.22,0.8208
0.116,0.374,0.671,0.046,-0.097,10,0.3,3,False,False,0.05,0.6564,0.0212,47.9691,195,1.71,7.6,5,-35.22,0.8208
0.116,0.353,0.671,0.046,-0.097,10,0.3,3,False,False,0.05,0.6564,0.0212,47.9691,195,1.71,7.6,5,-35.22,0.8208
0.116,0.395,0.671,0.046,-0.097,10,0.3,3,False,False,0.05,0.6564,0.0212,47.9691,195,1.71,7.6,5,-35.22,0.8208
0.116,0.332,0.671,0.046,-0.097,10,0.4,3,False,False,0.05,0.6579,0.021,42.0373,190,1.66,7.48,5,-35.22,0.8204
0.116,0.332,0.671,0.046,-0.097,10,0.5,3,False,False,0.05,0.6579,0.021,42.0373,190,1.66,7.48,5,-35.22,0.8204
0.116,0.332,0.671,0.046,-0.097,10,0.3,3,False,False,0.05,0.6546,0.021,45.9061,194,1.71,7.54,5,-35.22,0.8194
0.104,0.395,0.671,0.046,-0.097,10,0.3,3,False,False,0.05,0.6524,0.0206,57.5574,210,1.67,7.34,5,-35.22,0.8156
0.104,0.374,0.671,0.046,-0.097,10,0.3,3,False,False,0.05,0.6524,0.0206,57.5574,210,1.67,7.34,5,-35.22,0.8156
0.104,0.416,0.671,0.046,-0.097,10,0.3,3,False,False,0.05,0.6524,0.0206,57.5574,210,1.67,7.34,5,-35.22,0.8156
0.104,0.353,0.671,0.046,-0.097,10,0.3,3,False,False,0.05,0.6524,0.0206,57.5574,210,1.67,7.34,5,-35.22,0.8156
0.104,0.353,0.671,0.046,-0.097,10,0.5,3,False,False,0.05,0.6537,0.0205,50.4642,205,1.63,7.22,5,-35.22,0.8151
0.104,0.395,0.671,0.046,-0.097,10,0.5,3,False,False,0.05,0.6537,0.0205,50.4642,205,1.63,7.22,5,-35.22,0.8151
0.104,0.374,0.671,0.046,-0.097,10,0.4,3,False,False,0.05,0.6537,0.0205,50.4642,205,1.63,7.22,5,-35.22,0.8151
0.104,0.374,0.671,0.046,-0.097,10,0.5,3,False,False,0.05,0.6537,0.0205,50.4642,205,1.63,7.22,5,-35.22,0.8151
0.104,0.395,0.671,0.046,-0.097,10,0.4,3,False,False,0.05,0.6537,0.0205,50.4642,205,1.63,7.22,5,-35.22,0.8151
0.104,0.353,0.671,0.046,-0.097,10,0.4,3,False,False,0.05,0.6537,0.0205,50.4642,205,1.63,7.22,5,-35.22,0.8151
0.104,0.416,0.671,0.046,-0.097,10,0.4,3,False,False,0.05,0.6537,0.0205,50.4642,205,1.63,7.22,5,-35.22,0.8151
