pullback_ratio_min,pullback_ratio_max,volume_shrink_ratio,take_profit,stop_loss,hold_days,min_entity_board_ratio,min_consecutive_limit_up,require_oversold,require_low_close,volume_shrink_ratio_min,win_rate,avg_return,total_return,signal_count,profit_factor,sharpe,sortino,max_drawdown,score
0.12,0.42,0.67,0.051,-0.112,10,0.55,3,False,False,0.05,0.6319,0.0261,90.727,182,2.92,9.78,5,-30.45,0.8449
0.12,0.43,0.67,0.051,-0.112,10,0.55,3,False,False,0.05,0.6319,0.0261,90.727,182,2.92,9.78,5,-30.45,0.8449
0.12,0.4,0.67,0.051,-0.112,10,0.55,3,False,False,0.05,0.6319,0.0261,90.727,182,2.92,9.78,5,-30.45,0.8449
0.12,0.44,0.67,0.051,-0.112,10,0.55,3,False,False,0.05,0.6319,0.0261,90.727,182,2.92,9.78,5,-30.45,0.8449
0.12,0.41,0.67,0.051,-0.112,10,0.55,3,False,False,0.05,0.6319,0.0261,90.727,182,2.92,9.78,5,-30.45,0.8449
0.12,0.4,0.67,0.041,-0.112,10,0.55,3,False,False,0.05,0.6978,0.0224,48.4504,182,1.93,9.21,5,-30.45,0.8439
0.12,0.41,0.67,0.041,-0.112,10,0.55,3,False,False,0.05,0.6978,0.0224,48.4504,182,1.93,9.21,5,-30.45,0.8439
0.12,0.44,0.67,0.041,-0.112,10,0.55,3,False,False,0.05,0.6978,0.0224,48.4504,182,1.93,9.21,5,-30.45,0.8439
0.12,0.42,0.67,0.041,-0.112,10,0.55,3,False,False,0.05,0.6978,0.0224,48.4504,182,1.93,9.21,5,-30.45,0.8439
0.12,0.43,0.67,0.041,-0.112,10,0.55,3,False,False,0.05,0.6978,0.0224,48.4504,182,1.93,9.21,5,-30.45,0.8439
0.12,0.4,0.68,0.051,-0.112,10,0.55,3,False,False,0.05,0.6304,0.0258,90.2788,184,2.84,9.62,5,-30.45,0.8424
0.12,0.41,0.68,0.051,-0.112,10,0.55,3,False,False,0.05,0.6304,0.0258,90.2788,184,2.84,9.62,5,-30.45,0.8424
0.12,0.42,0.68,0.051,-0.112,10,0.55,3,False,False,0.05,0.6304,0.0258,90.2788,184,2.84,9.62,5,-30.45,0.8424
0.12,0.44,0.68,0.051,-0.112,10,0.55,3,False,False,0.05,0.6304,0.0258,90.2788,184,2.84,9.62,5,-30.45,0.8424
0.12,0.43,0.68,0.051,-0.112,10,0.55,3,False,False,0.05,0.6304,0.0258,90.2788,184,2.84,9.62,5,-30.45,0.8424
0.12,0.43,0.67,0.051,-0.112,10,0.5,3,False,False,0.05,0.627,0.0259,95.2198,185,3.01,9.77,5,-30.45,0.8422
0.12,0.43,0.67,0.051,-0.112,10,0.45,3,False,False,0.05,0.627,0.0259,95.2198,185,3.01,9.77,5,-30.45,0.8422
0.12,0.4,0.67,0.051,-0.112,10,0.35,3,False,False,0.05,0.627,0.0259,95.2198,185,3.01,9.77,5,-30.45,0.8422
0.12,0.4,0.67,0.051,-0.112,10,0.45,3,False,False,0.05,0.627,0.0259,95.2198,185,3.01,9.77,5,-30.45,0.8422
0.12,0.4,0.67,0.051,-0.112,10,0.5,3,False,False,0.05,0.627,0.0259,95.2198,185,3.01,9.77,5,-30.45,0.8422
0.12,0.4,0.67,0.051,-0.112,10,0.4,3,False,False,0.05,0.627,0.0259,95.2198,185,3.01,9.77,5,-30.45,0.8422
0.12,0.44,0.67,0.051,-0.112,10,0.5,3,False,False,0.05,0.627,0.0259,95.2198,185,3.01,9.77,5,-30.45,0.8422
0.12,0.41,0.67,0.051,-0.112,10,0.45,3,False,False,0.05,0.627,0.0259,95.2198,185,3.01,9.77,5,-30.45,0.8422
0.12,0.41,0.67,0.051,-0.112,10,0.5,3,False,False,0.05,0.627,0.0259,95.2198,185,3.01,9.77,5,-30.45,0.8422
0.12,0.44,0.67,0.051,-0.112,10,0.45,3,False,False,0.05,0.627,0.0259,95.2198,185,3.01,9.77,5,-30.45,0.8422
0.12,0.42,0.67,0.051,-0.112,10,0.35,3,False,False,0.05,0.627,0.0259,95.2198,185,3.01,9.77,5,-30.45,0.8422
0.12,0.42,0.67,0.051,-0.112,10,0.45,3,False,False,0.05,0.627,0.0259,95.2198,185,3.01,9.77,5,-30.45,0.8422
0.12,0.42,0.67,0.051,-0.112,10,0.5,3,False,False,0.05,0.627,0.0259,95.2198,185,3.01,9.77,5,-30.45,0.8422
0.12,0.42,0.67,0.051,-0.112,10,0.4,3,False,False,0.05,0.627,0.0259,95.2198,185,3.01,9.77,5,-30.45,0.8422
0.12,0.41,0.67,0.051,-0.112,10,0.4,3,False,False,0.05,0.627,0.0259,95.2198,185,3.01,9.77,5,-30.45,0.8422
0.12,0.41,0.67,0.051,-0.112,10,0.35,3,False,False,0.05,0.627,0.0259,95.2198,185,3.01,9.77,5,-30.45,0.8422
0.12,0.44,0.67,0.046,-0.112,10,0.55,3,False,False,0.05,0.6593,0.0242,65.4703,182,2.44,9.5,5,-30.45,0.8419
0.12,0.42,0.67,0.046,-0.112,10,0.55,3,False,False,0.05,0.6593,0.0242,65.4703,182,2.44,9.5,5,-30.45,0.8419
0.12,0.41,0.67,0.046,-0.112,10,0.55,3,False,False,0.05,0.6593,0.0242,65.4703,182,2.44,9.5,5,-30.45,0.8419
0.12,0.4,0.67,0.046,-0.112,10,0.55,3,False,False,0.05,0.6593,0.0242,65.4703,182,2.44,9.5,5,-30.45,0.8419
0.12,0.43,0.67,0.046,-0.112,10,0.55,3,False,False,0.05,0.6593,0.0242,65.4703,182,2.44,9.5,5,-30.45,0.8419
0.12,0.42,0.68,0.041,-0.112,10,0.55,3,False,False,0.05,0.6957,0.0221,47.7396,184,1.88,9.03,5,-30.45,0.841
0.12,0.4,0.68,0.041,-0.112,10,0.55,3,False,False,0.05,0.6957,0.0221,47.7396,184,1.88,9.03,5,-30.45,0.841
0.12,0.43,0.68,0.041,-0.112,10,0.55,3,False,False,0.05,0.6957,0.0221,47.7396,184,1.88,9.03,5,-30.45,0.841
0.12,0.41,0.68,0.041,-0.112,10,0.55,3,False,False,0.05,0.6957,0.0221,47.7396,184,1.88,9.03,5,-30.45,0.841
0.12,0.44,0.68,0.041,-0.112,10,0.55,3,False,False,0.05,0.6957,0.0221,47.7396,184,1.88,9.03,5,-30.45,0.841
0.12,0.43,0.67,0.041,-0.112,10,0.45,3,False,False,0.05,0.6919,0.0223,50.378,185,2.0,9.2,5,-30.45,0.8408
0.12,0.44,0.67,0.041,-0.112,10,0.5,3,False,False,0.05,0.6919,0.0223,50.378,185,2.0,9.2,5,-30.45,0.8408
0.12,0.4,0.67,0.041,-0.112,10,0.45,3,False,False,0.05,0.6919,0.0223,50.378,185,2.0,9.2,5,-30.45,0.8408
0.12,0.41,0.67,0.041,-0.112,10,0.4,3,False,False,0.05,0.6919,0.0223,50.378,185,2.0,9.2,5,-30.45,0.8408
0.12,0.41,0.67,0.041,-0.112,10,0.35,3,False,False,0.05,0.6919,0.0223,50.378,185,2.0,9.2,5,-30.45,0.8408
0.12,0.42,0.67,0.041,-0.112,10,0.4,3,False,False,0.05,0.6919,0.0223,50.378,185,2.0,9.2,5,-30.45,0.8408
0.12,0.42,0.67,0.041,-0.112,10,0.35,3,False,False,0.05,0.6919,0.0223,50.378,185,2.0,9.2,5,-30.45,0.8408
0.12,0.44,0.67,0.041,-0.112,10,0.45,3,False,False,0.05,0.6919,0.0223,50.378,185,2.0,9.2,5,-30.45,0.8408
0.12,0.4,0.67,0.041,-0.112,10,0.5,3,False,False,0.05,0.6919,0.0223,50.378,185,2.0,9.2,5,-30.45,0.8408
0.12,0.41,0.67,0.041,-0.112,10,0.5,3,False,False,0.05,0.6919,0.0223,50.378,185,2.0,9.2,5,-30.45,0.8408
0.12,0.42,0.67,0.041,-0.112,10,0.45,3,False,False,0.05,0.6919,0.0223,50.378,185,2.0,9.2,5,-30.45,0.8408
0.12,0.42,0.67,0.041,-0.112,10,0.5,3,False,False,0.05,0.6919,0.0223,50.378,185,2.0,9.2,5,-30.45,0.8408
0.12,0.41,0.67,0.041,-0.112,10,0.45,3,False,False,0.05,0.6919,0.0223,50.378,185,2.0,9.2,5,-30.45,0.8408
0.12,0.43,0.67,0.041,-0.112,10,0.5,3,False,False,0.05,0.6919,0.0223,50.378,185,2.0,9.2,5,-30.45,0.8408
0.12,0.4,0.67,0.041,-0.112,10,0.35,3,False,False,0.05,0.6919,0.0223,50.378,185,2.0,9.2,5,-30.45,0.8408
0.12,0.4,0.67,0.041,-0.112,10,0.4,3,False,False,0.05,0.6919,0.0223,50.378,185,2.0,9.2,5,-30.45,0.8408
0.12,0.42,0.68,0.051,-0.112,10,0.4,3,False,False,0.05,0.6257,0.0256,94.7496,187,2.92,9.62,5,-30.45,0.8397
0.12,0.41,0.68,0.051,-0.112,10,0.4,3,False,False,0.05,0.6257,0.0256,94.7496,187,2.92,9.62,5,-30.45,0.8397
0.12,0.4,0.68,0.051,-0.112,10,0.4,3,False,False,0.05,0.6257,0.0256,94.7496,187,2.92,9.62,5,-30.45,0.8397
0.12,0.4,0.68,0.051,-0.112,10,0.35,3,False,False,0.05,0.6257,0.0256,94.7496,187,2.92,9.62,5,-30.45,0.8397
